id,name,url
jeli,Jeli,https://www.jeli.io/
jetbrains,Jet Brains,https://www.jetbrains.com
jetstack,Jetstack by Venafi,https://www.jetstack.io/
jfrog,JFrog,https://jfrog.com/advanced-security/?utm_source=event-page&utm_medium=jfrog-logo&utm_campaign=conference-42&utm_term=event
jit,Jit,https://www.jit.io
jozu,Jozu,https://jozu.com/
juni,Juni,https://junilearning.com/blog/coding-projects/how-to-make-calculator-in-python//
k6,K6,https://k6.io/
kern,Kern.ai,https://www.kern.ai/
keyhole,Keyhole Software,https://keyholesoftware.com/
kloudfuse,Kloudfuse,https://www.kloudfuse.com/try-it-out
kmmx,KMMX,https://kmmx.mx
komodor,Komodor,https://komodor.com/
kong,Kong,https://konghq.com/
kube_careers,Kube Careers,https://kube.careers/
kube_events,Kube Events,https://kube.events/
kulkul,Kulkul Technology,https://kulkul.tech
kusho,Kusho AI,https://kusho.ai/?kusho_ref=conf42
last9,Last9.io,https://last9.io
lbke,LBKE,https://www.lbke.fr/
lightrun,Lightrun,https://lightrun.com/
lightstep,Lightstep,https://lightstep.com
liquidreply,Liquid Reply,https://www.reply.com/liquid-reply/it/
llmday,LLMday,https://llmday.com/
locelle,Locelle,https://locelle.com
logz,Logz.io,https://logz.io
lumigo,Lumigo,https://lumigo.io/?utm_source=conf42
magic,Magic,https://magic.link
manning,Manning Publications,https://www.manning.com
mariadb,MariaDB,https://mariadb.com/
mattermost,Mattermost,https://mattermost.com/
mayadata,MayaData,https://mayadata.io
media7,Media 7,https://media7.com/
memphisdev,Memphis.dev,https://memphis.dev
metacube,Metacube,https://europe.metacube.com/#home
metasnake,MetaSnake,https://www.metasnake.com/
meteorops,MeteorOps,https://meteorops.com/
metis,Metis Data,https://www.metisdata.io/
microapis,Microapis,https://microapis.io
microsoft,Microsoft,https://www.microsoft.com/en-ie/
mitigant,Mitigant,https://www.mitigant.io/
mitigant,Mitigant,https://mitigant.io/home
mongodb,MongoDB,https://www.mongodb.com/atlas
