YouTubel,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Joanne Rodrigues,1,1,Edwards Lifesciences,Joanne Rodrigues.png,https://www.linkedin.com/in/joanne-rodrigues/,,,,Observability in Complex Environments,"Explore the journey of building observability across complex, multi-platform environments. Learn how to overcome data silos, connect the dots across your technology landscape, and advance your observability practice.",,"Joanne Rodrigues is a Senior Observability Architect with extensive experience helping large organizations build and evolve their monitoring and observability practices. She developed her own Tool Consolidation Roadmap, a strategy designed to help companies simplify their monitoring landscape and reduce tool overhead. She shares this approach with organizations worldwide, helping them navigate the journey from fragmented monitoring to mature, scalable observability."
,confirmed,Igor Muralhes,1,1,ZenerIM,Igor Muralhes.png,https://www.linkedin.com/in/igormuralhes/,,,,Beyond Software: Applying SRE to Industrial Critical Systems,"SRE is typically associated with cloud platforms and software services, but many of its core principles can be applied to industrial operations as well.
Through practical examples from connected industrial automation systems, this talk shows how observability, incident management, root cause analysis, and reliability engineering help maintain critical physical assets. The session offers a unique perspective on how SRE practices can bridge the gap between software and the real world.",,"As a Technical Support Engineer at Ecolab, I support connected industrial systems across Latin America, specializing in industrial IoT, automation, instrumentation, and remote diagnostics. My work involves troubleshooting critical operations, investigating incidents, and improving the reliability of industrial assets. I am particularly interested in the intersection between reliability engineering, industrial operations, and modern monitoring practices."
,confirmed,Joao Hugo Ferreira,1,1,ECI Software Solutions,Joao Hugo Ferreira.png,https://www.linkedin.com/in/joaohugo-devops/,,,,Are Seniors Still Necessary?,Why the rise of AI makes deep engineering experience more valuable than ever – not less.,,Senior DevOps & Platform Engineer with 8+ years of experience building and running cloud-native infrastructure on Azure and AWS.
